time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,66.48318345453981,,,,64.2236408594997 
10,225.20269292043483,171.1860583926156,9.925720174133795,17.370506677987258,165.79051679996658 
20,1941.4067885429645,676.203559341324,263.6992057647923,622.4289969355286,1020.6921466246263 
30,1637.3230705033714,1293.338,1618.3509982875764,0.0,954.740650958964 
40,1690.0208282785413,0,1490.2257076855628,0,1584.6453325096593 
50,6581.1362050778125,944.3854938791825,5312.784183374799,2498.402972300241,2217.883979513224 
60,8750.610563306012,5697.615919122161,540.7098458998388,4168.383051487081,244.96159732286839 
70,3900.5963845848855,582.8304201294005,227.86971547594143,518.7036973455106,0 
75,2115.5367514386794,822.7730735880137,0,1604.9985019058377,0 
