time,connect,request 
0,2.85,58.51306451612904 
10,1.7841470588235298,103.27661728395063 
20,2.4574793388429743,351.83451051051077 
30,1.826200692041523,3446.139406614781 
40,1.8676156378600837,3535.946172106826 
50,1.6800187165775389,8072.760323600974 
60,1.555592132505176,11948.55198184818 
70,1.5617837837837834,18435.748419354855 
80,1.7438076923076926,28652.586319444443 
90,1.7302380952380954,35014.736685185184 
100,1.7014,41282.72010687024 
110,1.54175,50442.86573885353 
120,0,58413.933518518475 
130,0,21770.813933423025 
140,0,15.315939962476554 
144,0,13.942059360730592 
