time,size_sent,size_rcv 
0,14.33828125,86.84921875 
10,87.48203125,510.66171875 
20,272.1890625,1441.44375 
30,597.83203125,2900.55078125 
40,1073.85234375,4851.14140625 
50,1694.1984375,7672.58515625 
60,2053.64296875,9194.39609375 
70,2167.72578125,9539.55546875 
80,2241.84765625,9725.23671875 
90,2329.30234375,9964.94140625 
100,2403.6234375,10136.1375 
110,2479.13359375,10324.73515625 
120,2559.81953125,10510.79453125 
130,2914.36875,13564.665625 
140,3298.99140625,14147.07734375 
144,3449.4515625,14394.6609375 
