time,page,tr_GET_POSTS,tr_CREATE_POST,tr_SIGN_IN 
0,155.1723343562316,1.0136373315935048,,11.214409897983991 
10,324.66903499611004,24.81466096688222,2.1186546559125654,258.267862912383 
20,729.1824451787559,585.298597736881,679.5973568745616,823.175101845775 
30,2642.9258022027648,853.322040118678,1134.0128064161693,1190.287091613878 
40,5932.072490094849,3116.914808248624,3728.536540833515,4419.329015967889 
50,7688.256236366203,6266.262406521034,4600.417923605551,6781.928930468101 
60,6185.483059704515,6024.50850713355,5431.1488989236295,4820.15158724737 
70,10983.472508823625,8051.743815989317,4454.633531823004,5259.402157711878 
80,10894.124559375538,2363.30590285216,1844.0082787703807,2236.038985492981 
90,11192.449158668765,1550.3512455800449,1586.138314376191,1202.1850467298536 
100,12743.673609322394,1747.8294358759626,2337.509378096087,2181.7572438501684 
110,10081.938488174339,2109.5043165197303,1820.5699008372521,2609.8358483585876 
120,12216.318453317968,1012.442899544291,1457.8417016601227,1805.5505626009167 
130,16915.834246335984,17014.77036447421,17063.119732809293,0.9325189982508618 
140,8.238528674957854,0,8.266691187466675,0 
144,7.438984625387411,0,7.443751102598259,0 
